geneID	geneSymbol	Thymus_0	Thymus_1	TALL_01	TALL_03	TALL_04	TALL_06	TALL_08	TALL_09	TALL_12	TALL_14	TALL_15	TALL_16
XLOC_000001	OR4F5	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000002	OR4F16	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000003	SAMD11	0	0	0	0	0	0	0	0	0	0	0.158844	0
XLOC_000004	KLHL17	0.662207	5.37805	2.66941	4.98755	1.62719	0.88192	2.31442	2.75753	3.45904	1.99795	1.34449	2.25005
XLOC_000005	PLEKHN1	0.104821	0	0.0893614	0.0439295	0.0366832	0.0452358	0	0	0.193592	0.0876091	0.0891226	0
XLOC_000006	ISG15	51.8534	33.3796	11.4587	11.1836	29.6766	34.7469	9.20916	9.34366	39.1466	3.67896	14.1319	27.5982
XLOC_000007	AGRN	5.60602	1.34544	0.940941	2.75372	1.56212	1.02314	0.171982	0.264249	1.09659	1.4231	1.76425	1.46417
XLOC_000008	TTLL10	0	0	0.195757	0.151543	0	0.376381	0	0.383475	0.101003	0.0935881	0.381402	0
XLOC_000009	B3GALT6	7.26043	5.71573	6.7279	8.61319	2.67299	6.25125	1.36173	5.0322	2.73906	4.27771	4.1856	4.71653
XLOC_000010	SCNN1D	0.250357	1.16591	1.88415	3.79283	1.45744	8.79736	5.42139	2.77103	2.27242	1.99367	3.93422	2.64148
XLOC_000011	PUSL1	3.94276	6.07446	10.156	4.45863	2.93228	2.19042	7.37093	7.92614	4.14672	2.2161	1.60699	4.45046
XLOC_000012	GLTPD1	8.96486	7.60022	7.2985	5.09131	3.1997	5.94508	5.7219	6.04039	5.18017	5.07552	4.1235	3.21633
XLOC_000013	TAS1R3	0.291055	0.254494	0.609169	0.245809	0.55441	0.401723	1.49464	0.334951	1.47851	1.43012	1.98137	0.16702
XLOC_000014	TMEM88B	0	0	0.414739	0	0	0	0	0.326196	0	0	0.616044	0
XLOC_000015	VWA1	1.43759	0	0	0.0237823	0	0	0	0.0487096	0.0287527	0	0	0
XLOC_000016	ATAD3C	0.120251	0.0484937	0.0684098	0.0528315	0.0210793	0.025888	0	0.10817	0.0531862	0	0.10239	0.0648437
XLOC_000017	ATAD3B	1.69693	4.36156	6.88138	6.27546	0.172193	5.39015	7.67194	7.16343	6.39954	3.84116	5.60797	2.34535
